sliceId; brand; type; doors; energyConsumption; units/energy; serviceIntervals; isElectric; meta;
VIN1; Volkswagen; Polo; 5; 5.5; l/100km; 15000, 30000, 45000; true;{ pressText: 'A popular compact car.'}
VIN2; Ford; Mustang; 2; 9.0; l/100km; 10000, 20000, 30000; false;{ pressText: 'An iconic muscle car.'}
VIN3; Toyota; Corolla; 4; 6.0; l/100km; 15000, 30000, 45000; false;{ pressText: 'A reliable sedan.'}
VIN4; Honda; Civic; 4; 5.8; l/100km; 12000, 24000, 36000; false;{ pressText: 'A sporty compact car.'}
VIN5; BMW; i3; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A premium electric vehicle.'}
VIN6; Audi; A4; 4; 7.5; l/100km; 15000, 30000, 45000; false;{ pressText: 'A luxury sedan.'}
VIN7; Mercedes; C-Class; 4; 7.8; l/100km; 15000, 30000, 45000; false;{ pressText: 'A stylish and comfortable car.'}
VIN8; Chevrolet; Bolt; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'An affordable electric car.'}
VIN9; Nissan; Leaf; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A popular electric vehicle.'}
VIN10; Hyundai; Kona Electric; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A compact electric SUV.'}
VIN11; Kia; Soul EV; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A quirky electric car.'}
VIN12; Mazda; CX-5; 4; 8.0; l/100km; 15000, 30000, 45000; false;{ pressText: 'A versatile SUV.'}
VIN13; Subaru; Outback; 4; 7.2; l/100km; 15000, 30000, 45000; false;{ pressText: 'A rugged wagon.'}
VIN14; Volkswagen; ID.4; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A modern electric SUV.'}
VIN15; Tesla; Model 3; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A high-performance electric sedan.'}
VIN16; Tesla; Model Y; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A versatile electric SUV.'}
VIN17; Ford; F-150 Lightning; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'An electric pickup truck.'}
VIN18; Rivian; R1T; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A rugged electric truck.'}
VIN19; Lucid; Air; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A luxury electric sedan.'}
VIN20; Porsche; Taycan; 4; 0; kWh/100km; 20000, 40000, 60000; true;{ pressText: 'A high-performance electric sports car.'}
